Record,Claim Type,Claim Name,Points,Bettor,Bettor_Name,Created Time,Team,Team_Name,Week,Week Name,Team 1 Score,Team 2 Score,Team 3 Score,Weight Points,Current Week Weight,Current Week Run,Current Week Sport,Current Week Exercise,Current Week Food,Current Week Booze,Current Week Walking,Current Week Score,W1 Score,W2 Score,W3 Score,W4 Score,W5 Score,W6 Score,W7 Score,W8 Score,W9 Score,W10 Score,W11 Score,W12 Score,W13 Score,W14 Score,W15 Score,Current Week,Created,Icon
12021,Run,Run,5,Bill,Bill,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12022,Food,Food,4,Brent,Brent,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12023,Booze,Booze,2,Bill,Bill,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12024,Run,Run,1,Brent,Brent,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12025,Food,Food,4,Bill,Bill,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12026,Food,Food,4,Bobby,Bobby,7/11/2022,Team 1,Team 1,Week 1,Week 1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",1️⃣
12027,Exercise,Exercise,5,Oki,Oki,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12028,Food,Food,4,Oki,Oki,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12029,Booze,Booze,2,Oki,Oki,7/11/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",3️⃣
12030,Booze,Booze,2,Sooper,Sooper,7/11/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",2️⃣
